Question 4: CAPM Beta Estimates for Each Firm (Consolidated by PERMNO)
--------------------------------------------------
   PERMNO TICKER      beta
1   10104   ORCL 1.4285135
2   10107   MSFT 1.4204685
3   10516    ADM 0.7517185
4   11308     KO 0.7436782
5   11850    XOM 0.7437044
6   12052     GD 0.8094097
7   12060     GE 1.3175889
8   12490    IBM 1.0281758
9   13856    PEP 0.8255328
10  13901     MO 0.7545782
11  14008   AMGN 0.9388414
12  14227   ANEN 1.0963030
13  14541    CVX 0.8523502
14  14593   AAPL 1.3749797
15  14702   AMAT 1.8838256
16  15069    MRO 1.2957779
17  15579    TXN 1.4568469
18  16678     KR 0.7190132
19  17144    GIS 0.4785528
20  17750    KMB 0.6373355
21  17778    BRK 0.8044695
22  17830    RTX 1.1893927
23  18163     PG 0.6276297
24  18374    HON 0.9876660
25  18411     SO 0.2841213
26  18542    CAT 1.1991551
27  18729     CL 0.8016483
28  19350     DE 1.0185986
29  19393    BMY 0.7884741
30  19502    WBA 0.9734993
31  19561     BA 1.1085752
32  20482    ABT 0.7778223
33  21178    LMT 0.6385246
34  21573     IP 1.3051486
35  21936    PFE 0.9433075
36  22103    EMR 1.1934159
37  22111    JNJ 0.8243351
38  22592    MMM 0.8864192
39  22752    MRK 0.8265691
40  23819    HAL 1.4021586
41  24205    NEE 0.4250072
42  24766    NOC 0.6676579
43  25785      F 1.4763824
44  25953    DOV 1.1581098
45  26403    DIS 1.2345764
46  26825      K 0.5044216
47  27887    BAX 0.7680755
48  27959    DUK 0.4082196
49  28222    APD 1.0730294
50  34746   FITB 1.2463678
51  34833    OXY 0.9981684
52  39642    BDX 0.6793757
53  41080    CMI 1.3069458
54  41355     PH 1.2875187
55  43449    MCD 0.8384164
56  44644    ADP 0.9150547
57  46674    GPC 0.7714271
58  47896    JPM 1.2938663
59  48653    HUM 0.8933103
60  48725    UNP 0.9306297
61  49656     BK 1.2153116
62  50876    LLY 0.8045087
63  55976    WMT 0.8310188
64  57665    NKE 1.0653849
65  57904    AFL 1.1071546
66  59328   INTC 1.4891367
67  59408    BAC 1.4693913
68  60097    MDT 0.8853942
69  61399    LOW 1.1633106
70  62092    TMO 1.0442712
71  65875     VZ 0.7338382
72  66093      T 0.7486623
73  66181     HD 1.1412887
74  69032     MS 1.6188233
75  75510   ADBE 1.4673729
